K,WCSS,Silhouette_Score,Calinski_Harabasz,Davies_Bouldin
2,119113.4850799808,0.2173623414454821,2481.7577997280114,1.6706204560522124
3,101330.45364170749,0.21249781231313258,2243.5628427923207,1.7114993716771838
4,92131.16428534416,0.20862305773452136,1942.6520475433133,1.7046784557186214
5,84764.15067729041,0.1983159174657234,1777.7757666660648,1.605821940617248
6,77909.01124259435,0.20631475303866592,1704.5840836743955,1.5217028220069266
7,73635.3089559187,0.19657948790156685,1589.266734404028,1.5628845280687311
8,69848.25327250188,0.19928087046748344,1505.19031877535,1.482086402162771
9,66812.95676712031,0.19249397146279204,1427.4897797979656,1.4849461204013885
10,64003.4033420814,0.18430426838078218,1368.0377478916128,1.4633601519789592
